sira,portfoy_sirketi,sirket,fon_unvani,fon_kodu,semsiye_fon_turu,fon_tipi,portfoy_buyuklugu_tl,yatirimci_sayisi,fiyat,tedavuldeki_pay
87,PARDUS,Pardus,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),KHA,Hisse Senedi Şemsiye Fonu,Hisse Senedi Fonu,4057697812.55,31609,4.555175,890788494
88,PARDUS,Pardus,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),AC8,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,2873820710.42,96,189.772344,15143517
89,PARDUS,Pardus,PARDUS PORTFÖY İKİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),IAU,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,16596778.5,200,2.703293,6139468
90,PARDUS,Pardus,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),AC5,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,23394673.37,146,3.794818,6164900
91,PARDUS,Pardus,PARDUS PORTFÖY KARTAL HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),KRH,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,2210676564.86,41,1.696443,1303124471
92,PARDUS,Pardus,PARDUS PORTFÖY KUZEY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),PKU,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,7984898436.66,45,14.632384,545700430
93,PARDUS,Pardus,PARDUS PORTFÖY MARMARA HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),PMH,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,39884.23,43,0.003619,11021437
94,PARDUS,Pardus,PARDUS PORTFÖY MODEL PORTFÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),PMP,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,11836367.75,366,0.721151,16413171
95,PARDUS,Pardus,PARDUS PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),MGE,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,251500154.53,67,0.35969,699213023
96,PARDUS,Pardus,PARDUS PORTFÖY ONALTINCI HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),POF,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,2675995055.72,45,2.498031,1071241579
97,PARDUS,Pardus,PARDUS PORTFÖY ONBEŞİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),POS,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,67202327.71,332,1.111738,60447991
98,PARDUS,Pardus,PARDUS PORTFÖY ONBİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),POB,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,4420323890.67,42,4.271052,1034949682
99,PARDUS,Pardus,PARDUS PORTFÖY ONDOKUZUNCU HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),PO9,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,189287896.13,136,0.679355,278628980
100,PARDUS,Pardus,PARDUS PORTFÖY ONDÖRDÜNCÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),PPO,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,134292883.34,44,2.194912,61183726
101,PARDUS,Pardus,PARDUS PORTFÖY ONİKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),POI,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,252040973.95,42,0.055318,4556187573
102,PARDUS,Pardus,PARDUS PORTFÖY ONSEKİZİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),PO8,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,2464209.69,46,2.772856,888690
103,PARDUS,Pardus,PARDUS PORTFÖY ONUNCU HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),OHI,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,1196539830.45,44,0.121481,9849630500
